OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,TRACT GEO ID,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_Leng,Tract Label,Shape__Area,Shape__Length
1,53,033,000101,53033000101,1.01,Census Tract,G5020,S,414848,0,+47.7301150,-122.2930741,8662.10098025,Tract 000101,4465061.73980713,8662.10098024818
2,53,033,000102,53033000102,1.02,Census Tract,G5020,S,1495019,918878,+47.7247297,-122.2845705,22442.9145766,Tract 000102,25981033.7877808,22442.9145766585
3,53,033,000201,53033000201,2.01,Census Tract,G5020,S,1806749,0,+47.7263725,-122.3160435,18651.5944507,Tract 000201,19446251.042511,18651.5944507351
4,53,033,000202,53033000202,2.02,Census Tract,G5020,S,1480085,0,+47.7269637,-122.3026174,17285.8533324,Tract 000202,15930357.3875427,17285.8533323492
5,53,033,000300,53033000300,3,Census Tract,G5020,S,1211013,0,+47.7305259,-122.3329277,17298.1521487,Tract 000300,13034275.5626831,17298.1521486714
6,53,033,000402,53033000402,4.02,Census Tract,G5020,S,1798938,0,+47.7168585,-122.3523664,21397.1752982,Tract 000402,19362220.5230408,21397.1752981829
7,53,033,000403,53033000403,4.03,Census Tract,G5020,S,669384,62871,+47.7279716,-122.3536298,14097.2150606,Tract 000403,7881373.50958252,14097.2150606364
8,53,033,000404,53033000404,4.04,Census Tract,G5020,S,599476,31541,+47.7329839,-122.3497477,12962.8073955,Tract 000404,6791703.23275757,12962.8073954945
9,53,033,000500,53033000500,5,Census Tract,G5020,S,2898252,953717,+47.7224094,-122.3710555,29311.1206806,Tract 000500,41459300.0868225,29311.1206805998
10,53,033,000601,53033000601,6.01,Census Tract,G5020,S,1431268,0,+47.7167031,-122.3232436,20078.9564759,Tract 000601,15404952.58255,20078.9564759528
11,53,033,000602,53033000602,6.02,Census Tract,G5020,S,2355577,55191,+47.7188129,-122.3363779,23221.7047501,Tract 000602,25947507.8615417,23221.7047501457
12,53,033,000700,53033000700,7,Census Tract,G5020,S,1294438,0,+47.7156896,-122.3018611,16134.0299149,Tract 000700,13932242.3934937,16134.0299149314
13,53,033,000800,53033000800,8,Census Tract,G5020,S,1141931,0,+47.7112517,-122.2860818,15312.0874646,Tract 000800,12290810.0238037,15312.0874645682
14,53,033,000900,53033000900,9,Census Tract,G5020,S,1004853,1849039,+47.7080031,-122.2748976,27230.7853902,Tract 000900,30716929.0792236,27230.7853901992
15,53,033,001000,53033001000,10,Census Tract,G5020,S,954203,0,+47.7064073,-122.2960632,13147.0305998,Tract 001000,10270271.6851196,13147.0305998035
16,53,033,001100,53033001100,11,Census Tract,G5020,S,1060685,0,+47.7065465,-122.3068060,14159.1273466,Tract 001100,11416399.5889587,14159.1273465481
17,53,033,001201,53033001201,12.01,Census Tract,G5020,S,1008240,0,+47.7079921,-122.3273315,15899.7733431,Tract 001201,10851861.641449,15899.7733430381
18,53,033,001202,53033001202,12.02,Census Tract,G5020,S,821426,0,+47.7060217,-122.3172561,13324.9900925,Tract 001202,8841145.88357544,13324.9900925436
19,53,033,001300,53033001300,13,Census Tract,G5020,S,1180877,0,+47.7022935,-122.3421875,14881.0870453,Tract 001300,12710036.9898682,14881.0870453246
20,53,033,001400,53033001400,14,Census Tract,G5020,S,2152767,213389,+47.7078795,-122.3674088,34964.7677739,Tract 001400,25467334.4663086,34964.7677738941
21,53,033,001500,53033001500,15,Census Tract,G5020,S,1167711,526885,+47.6979702,-122.3952683,19732.5667478,Tract 001500,18239275.9328308,19732.5667478298
22,53,033,001600,53033001600,16,Census Tract,G5020,S,2020358,320118,+47.7004649,-122.3798699,24422.8202749,Tract 001600,25190946.9279175,24422.8202748757
23,53,033,001701,53033001701,17.01,Census Tract,G5020,S,892768,0,+47.6963619,-122.3544843,17164.4547776,Tract 001701,9609026.08462524,17164.4547776719
24,53,033,001702,53033001702,17.02,Census Tract,G5020,S,1280220,0,+47.6965211,-122.3639488,17476.4075143,Tract 001702,13779275.7611389,17476.407514377
25,53,033,001800,53033001800,18,Census Tract,G5020,S,946085,0,+47.6940568,-122.3419681,13946.1000282,Tract 001800,10182882.271698,13946.1000282278
26,53,033,001900,53033001900,19,Census Tract,G5020,S,1667272,0,+47.6965229,-122.3262226,18948.4812689,Tract 001900,17945171.5237732,18948.4812688867
27,53,033,002000,53033002000,20,Census Tract,G5020,S,1103313,28680,+47.6953310,-122.3108025,15509.5457093,Tract 002000,12183878.8232422,15509.5457092937
28,53,033,002100,53033002100,21,Census Tract,G5020,S,1365468,0,+47.6953673,-122.2980453,16139.9218598,Tract 002100,14696796.7441101,16139.9218597619
29,53,033,002200,53033002200,22,Census Tract,G5020,S,2804076,1154953,+47.6941159,-122.2754574,39974.1058687,Tract 002200,42611837.5589294,39974.1058687505
30,53,033,002400,53033002400,24,Census Tract,G5020,S,962528,0,+47.6866167,-122.2879303,13151.7125245,Tract 002400,10359919.7831116,13151.7125245021
31,53,033,002500,53033002500,25,Census Tract,G5020,S,984334,0,+47.6838969,-122.3022793,16442.968587,Tract 002500,10594634.2979126,16442.9685869349
32,53,033,002600,53033002600,26,Census Tract,G5020,S,1216627,28175,+47.6822031,-122.3113993,15933.9379002,Tract 002600,13398040.1758423,15933.937900171
33,53,033,002700,53033002700,27,Census Tract,G5020,S,1584847,0,+47.6868572,-122.3310895,21942.8352784,Tract 002700,17058079.2769775,21942.8352783497
34,53,033,002800,53033002800,28,Census Tract,G5020,S,988287,0,+47.6851257,-122.3498985,13201.311298,Tract 002800,10637151.8215942,13201.3112979881
35,53,033,002900,53033002900,29,Census Tract,G5020,S,986209,0,+47.6850872,-122.3606466,13366.3196709,Tract 002900,10614791.1059265,13366.3196709506
36,53,033,003000,53033003000,30,Census Tract,G5020,S,1493249,0,+47.6850958,-122.3740444,16061.9476209,Tract 003000,16072222.0090027,16061.9476208367
37,53,033,003100,53033003100,31,Census Tract,G5020,S,2236733,472744,+47.6877574,-122.3964308,27799.7581428,Tract 003100,29162680.1231384,27799.7581428867
38,53,033,003201,53033003201,32.01,Census Tract,G5020,S,1152079,1354300,+47.6752462,-122.4040825,28928.9486038,Tract 003201,26976829.097229,28928.9486037646
39,53,033,003202,53033003202,32.02,Census Tract,G5020,S,956016,0,+47.6752342,-122.3942667,12945.3948644,Tract 003202,10289818.4569397,12945.3948643847
40,53,033,003301,53033003301,33.01,Census Tract,G5020,S,669207,0,+47.6759370,-122.3820154,11177.1813262,Tract 003301,7202858.49365234,11177.1813262031
41,53,033,003302,53033003302,33.02,Census Tract,G5020,S,627071,0,+47.6760080,-122.3712585,10550.8179265,Tract 003302,6749336.48602295,10550.8179265341
42,53,033,003400,53033003400,34,Census Tract,G5020,S,787161,0,+47.6740646,-122.3617462,12629.3229336,Tract 003400,8472471.71472168,12629.3229335645
43,53,033,003500,53033003500,35,Census Tract,G5020,S,1284745,0,+47.6725466,-122.3520880,16634.3489621,Tract 003500,13828061.6663513,16634.3489621039
44,53,033,003601,53033003601,36.01,Census Tract,G5020,S,674139,0,+47.6749093,-122.3260430,11894.2888949,Tract 003601,7255879.06808472,11894.288894892
45,53,033,003602,53033003602,36.02,Census Tract,G5020,S,522326,0,+47.6801362,-122.3218336,11471.0943824,Tract 003602,5621886.08477783,11471.0943824154
46,53,033,003800,53033003800,38,Census Tract,G5020,S,624606,0,+47.6794093,-122.2955292,10392.5315541,Tract 003800,6722791.39419556,10392.5315540705
47,53,033,003900,53033003900,39,Census Tract,G5020,S,973808,0,+47.6794117,-122.2823414,13200.9092051,Tract 003900,10481334.9801331,13200.9092050944
48,53,033,004000,53033004000,40,Census Tract,G5020,S,2574586,3232248,+47.6817180,-122.2523680,39161.1364823,Tract 004000,62500419.0625,39161.136482331
49,53,033,004101,53033004101,41.01,Census Tract,G5020,S,1601973,3290570,+47.6606400,-122.2694346,35452.4720983,Tract 004101,52660017.193634,35452.472098306
50,53,033,004102,53033004102,41.02,Census Tract,G5020,S,1689910,2027249,+47.6737465,-122.2517500,33734.4713509,Tract 004102,40008776.4894714,33734.4713509189
51,53,033,004201,53033004201,42.01,Census Tract,G5020,S,1244114,0,+47.6716240,-122.2775990,18286.1439211,Tract 004201,13390664.2678833,18286.1439210904
52,53,033,004202,53033004202,42.02,Census Tract,G5020,S,1220977,0,+47.6687521,-122.2907266,15651.6663664,Tract 004202,13141688.4515991,15651.66636633
53,53,033,004301,53033004301,43.01,Census Tract,G5020,S,979236,0,+47.6694019,-122.3002215,17192.7037498,Tract 004301,10539780.5729065,17192.7037498235
54,53,033,004302,53033004302,43.02,Census Tract,G5020,S,331137,0,+47.6647387,-122.3035964,7987.2744192,Tract 004302,3564115.67004395,7987.27441919877
55,53,033,004401,53033004401,44.01,Census Tract,G5020,S,694919,0,+47.6712710,-122.3107454,12948.9751358,Tract 004401,7479571.76144409,12948.9751357939
56,53,033,004402,53033004402,44.02,Census Tract,G5020,S,294988,0,+47.6681501,-122.3147285,7487.97985687,Tract 004402,3175021.43347168,7487.97985687244
57,53,033,004500,53033004500,45,Census Tract,G5020,S,670997,0,+47.6685824,-122.3229111,11018.3020935,Tract 004500,7222109.88800049,11018.3020935187
58,53,033,004600,53033004600,46,Census Tract,G5020,S,1552358,1033232,+47.6830920,-122.3378674,25514.2239991,Tract 004600,27829368.7581177,25514.2239990923
59,53,033,004701,53033004701,47.01,Census Tract,G5020,S,571393,176916,+47.6654796,-122.3828943,13799.0876254,Tract 004701,8054301.31393433,13799.0876254093
60,53,033,004702,53033004702,47.02,Census Tract,G5020,S,266414,0,+47.6705130,-122.3778052,6956.44967488,Tract 004702,2867507.73431396,6956.44967487583
61,53,033,004703,53033004703,47.03,Census Tract,G5020,S,1188631,155567,+47.6643472,-122.3721352,18210.0891969,Tract 004703,14467955.0325623,18210.0891968924
62,53,033,004800,53033004800,48,Census Tract,G5020,S,1278329,26886,+47.6608472,-122.3601847,18971.6615702,Tract 004800,14048449.2021484,18971.6615701505
63,53,033,004901,53033004901,49.01,Census Tract,G5020,S,497144,0,+47.6613804,-122.3513529,9379.65576685,Tract 004901,5350888.21548462,9379.65576686192
64,53,033,004902,53033004902,49.02,Census Tract,G5020,S,597604,17368,+47.6527830,-122.3506012,11198.1866298,Tract 004902,6619147.79391479,11198.1866298232
65,53,033,005000,53033005000,50,Census Tract,G5020,S,757380,0,+47.6608696,-122.3418076,11560.1480115,Tract 005000,8151942.29486084,11560.1480115216
66,53,033,005100,53033005100,51,Census Tract,G5020,S,881731,0,+47.6585183,-122.3322480,13462.5915467,Tract 005100,9490350.15292358,13462.5915467208
67,53,033,005201,53033005201,52.01,Census Tract,G5020,S,699701,73218,+47.6595743,-122.3245993,16063.5042536,Tract 005201,8319183.20352173,16063.5042535601
68,53,033,005202,53033005202,52.02,Census Tract,G5020,S,269234,19268,+47.6567013,-122.3203201,7939.7192035,Tract 005202,3105250.11929321,7939.71920349071
69,53,033,005303,53033005303,53.03,Census Tract,G5020,S,2432843,749176,+47.6540399,-122.3012544,24805.7959425,Tract 005303,34249105.9159546,24805.7959425034
70,53,033,005304,53033005304,53.04,Census Tract,G5020,S,73030,0,+47.6561001,-122.3150258,4083.12606627,Tract 005304,786047.098144531,4083.12606625015
71,53,033,005305,53033005305,53.05,Census Tract,G5020,S,212967,0,+47.6590644,-122.3148784,6048.60922234,Tract 005305,2292236.61636353,6048.60922233442
72,53,033,005306,53033005306,53.06,Census Tract,G5020,S,200489,0,+47.6630891,-122.3141376,5954.87262312,Tract 005306,2157906.05783081,5954.87262315274
73,53,033,005307,53033005307,53.07,Census Tract,G5020,S,130030,0,+47.6630600,-122.3086776,4758.85069027,Tract 005307,1399526.47976685,4758.85069025316
74,53,033,005401,53033005401,54.01,Census Tract,G5020,S,756239,615226,+47.6475292,-122.3381077,18798.5654563,Tract 005401,14761543.7078857,18798.5654562551
75,53,033,005402,53033005402,54.02,Census Tract,G5020,S,463900,0,+47.6541050,-122.3411359,10063.797847,Tract 005402,4993141.86450195,10063.7978469404
76,53,033,005600,53033005600,56,Census Tract,G5020,S,3022785,1546484,+47.6405468,-122.4071053,33933.6236542,Tract 005600,49180655.0389099,33933.6236542036
77,53,033,005700,53033005700,57,Census Tract,G5020,S,5085640,2365806,+47.6581015,-122.4137704,49994.6114108,Tract 005700,80202146.0765991,49994.6114108053
78,53,033,005801,53033005801,58.01,Census Tract,G5020,S,1822365,260223,+47.6548926,-122.3850376,21075.7590053,Tract 005801,22415556.1698914,21075.759005361
79,53,033,005803,53033005803,58.03,Census Tract,G5020,S,832097,0,+47.6424544,-122.3878383,17129.1988103,Tract 005803,8956173.42440796,17129.198810352
80,53,033,005804,53033005804,58.04,Census Tract,G5020,S,2334443,1169687,+47.6319354,-122.3774788,37828.3299803,Tract 005804,37716271.7333984,37828.3299803885
81,53,033,005901,53033005901,59.01,Census Tract,G5020,S,778385,173882,+47.6530716,-122.3696366,16252.0563135,Tract 005901,10249553.110321,16252.0563134814
82,53,033,005902,53033005902,59.02,Census Tract,G5020,S,1022976,0,+47.6444414,-122.3684358,15184.2205727,Tract 005902,11010649.8948364,15184.2205727097
83,53,033,006000,53033006000,60,Census Tract,G5020,S,1340653,160754,+47.6432313,-122.3527936,19181.1917346,Tract 006000,16160202.9935303,19181.1917346214
84,53,033,006100,53033006100,61,Census Tract,G5020,S,1198411,681782,+47.6444403,-122.3222647,22036.092007,Tract 006100,20237160.4399109,22036.0920069653
85,53,033,006200,53033006200,62,Census Tract,G5020,S,2437426,239356,+47.6391316,-122.3012264,35779.2924275,Tract 006200,28811213.4780884,35779.2924274954
86,53,033,006300,53033006300,63,Census Tract,G5020,S,2610569,3533560,+47.6350162,-122.2767793,38400.5540448,Tract 006300,66131582.0465698,38400.5540448357
87,53,033,006400,53033006400,64,Census Tract,G5020,S,903649,0,+47.6285398,-122.3048258,13186.7701845,Tract 006400,9726351.90380859,13186.7701844569
88,53,033,006500,53033006500,65,Census Tract,G5020,S,1147619,0,+47.6309633,-122.3177579,17921.5013322,Tract 006500,12352257.7563171,17921.501332221
89,53,033,006600,53033006600,66,Census Tract,G5020,S,1109813,838435,+47.6280900,-122.3312907,19719.4620533,Tract 006600,20969750.7559204,19719.4620532453
90,53,033,006701,53033006701,67.01,Census Tract,G5020,S,380256,105441,+47.6324360,-122.3407805,11330.9765212,Tract 006701,5227746.33404541,11330.9765212479
91,53,033,006702,53033006702,67.02,Census Tract,G5020,S,304748,0,+47.6273058,-122.3456689,8593.86490466,Tract 006702,3280147.99505615,8593.86490468658
92,53,033,006703,53033006703,67.03,Census Tract,G5020,S,597133,0,+47.6345035,-122.3473591,10846.4930445,Tract 006703,6427171.8838501,10846.4930444952
93,53,033,006800,53033006800,68,Census Tract,G5020,S,718106,0,+47.6360306,-122.3564653,11275.377348,Tract 006800,7729250.27151489,11275.3773479767
94,53,033,006900,53033006900,69,Census Tract,G5020,S,905121,0,+47.6343813,-122.3669907,15666.5439545,Tract 006900,9742176.64974976,15666.5439544414
95,53,033,007001,53033007001,70.01,Census Tract,G5020,S,358281,0,+47.6278767,-122.3603612,9530.30256857,Tract 007001,3856290.05010986,9530.30256856354
96,53,033,007002,53033007002,70.02,Census Tract,G5020,S,441021,0,+47.6285230,-122.3541023,9490.79905736,Tract 007002,4746869.84524536,9490.79905737079
97,53,033,007101,53033007101,71.01,Census Tract,G5020,S,495054,0,+47.6216965,-122.3530304,9004.94722654,Tract 007101,5328474.60687256,9004.9472265271
98,53,033,007102,53033007102,71.02,Census Tract,G5020,S,335908,0,+47.6231794,-122.3626414,11499.9407457,Tract 007102,3615500.89794922,11499.9407456456
99,53,033,007201,53033007201,72.01,Census Tract,G5020,S,150744,0,+47.6171374,-122.3460833,5873.21651065,Tract 007201,1622558.90011597,5873.21651064079
100,53,033,007202,53033007202,72.02,Census Tract,G5020,S,280585,0,+47.6153600,-122.3405780,7591.70188345,Tract 007202,3020075.66329956,7591.70188344788
101,53,033,007203,53033007203,72.03,Census Tract,G5020,S,579631,0,+47.6220291,-122.3435701,12493.9648042,Tract 007203,6238804.94302368,12493.9648041684
102,53,033,007301,53033007301,73.01,Census Tract,G5020,S,250787,0,+47.6219263,-122.3308665,7422.61069282,Tract 007301,2699344.10800171,7422.6106928223
103,53,033,007302,53033007302,73.02,Census Tract,G5020,S,312981,0,+47.6163784,-122.3341111,7802.42635391,Tract 007302,3368769.26528931,7802.42635391182
104,53,033,007303,53033007303,73.03,Census Tract,G5020,S,313527,0,+47.6219789,-122.3358320,7984.863522,Tract 007303,3374596.39300537,7984.86352197545
105,53,033,007403,53033007403,74.03,Census Tract,G5020,S,118559,0,+47.6228951,-122.3227163,5227.49528679,Tract 007403,1276089.06906128,5227.49528678764
106,53,033,007404,53033007404,74.04,Census Tract,G5020,S,153725,0,+47.6230967,-122.3264852,5775.69998669,Tract 007404,1654579.82757568,5775.69998668838
107,53,033,007405,53033007405,74.05,Census Tract,G5020,S,131830,0,+47.6180293,-122.3235972,5012.79869003,Tract 007405,1418974.04171753,5012.79869002395
108,53,033,007406,53033007406,74.06,Census Tract,G5020,S,150829,0,+47.6193203,-122.3260062,6764.47724113,Tract 007406,1623443.82739258,6764.47724113444
109,53,033,007501,53033007501,75.01,Census Tract,G5020,S,298283,0,+47.6221056,-122.3167948,7219.62364176,Tract 007501,3210519.93664551,7219.62364176037
110,53,033,007502,53033007502,75.02,Census Tract,G5020,S,315931,0,+47.6176046,-122.3167930,7403.62929267,Tract 007502,3400503.55508423,7403.62929266713
111,53,033,007503,53033007503,75.03,Census Tract,G5020,S,187541,0,+47.6138039,-122.3171870,6484.38948227,Tract 007503,2018614.36816406,6484.3894822822
112,53,033,007600,53033007600,76,Census Tract,G5020,S,571882,0,+47.6218678,-122.3075858,9906.36833564,Tract 007600,6155389.38903809,9906.36833561174
113,53,033,007700,53033007700,77,Census Tract,G5020,S,1058322,0,+47.6191203,-122.2973516,15242.2097595,Tract 007700,11391208.219574,15242.2097595573
114,53,033,007800,53033007800,78,Census Tract,G5020,S,2097740,3632914,+47.6141558,-122.2810958,36419.0597735,Tract 007800,61681580.6920166,36419.0597734407
115,53,033,007901,53033007901,79.01,Census Tract,G5020,S,267231,0,+47.6144349,-122.3108156,7879.4043395,Tract 007901,2876299.5020752,7879.40433948863
116,53,033,007902,53033007902,79.02,Census Tract,G5020,S,431244,0,+47.6143565,-122.3057243,9715.1208774,Tract 007902,4641637.79998779,9715.120877411
117,53,033,008002,53033008002,80.02,Census Tract,G5020,S,234314,0,+47.6120898,-122.3453618,7998.38246588,Tract 008002,2522029.80841064,7998.38246587897
118,53,033,008003,53033008003,80.03,Census Tract,G5020,S,197152,0,+47.6161316,-122.3495916,8720.9994215,Tract 008003,2122043.71121216,8720.99942149909
119,53,033,008004,53033008004,80.04,Census Tract,G5020,S,284626,526767,+47.6150718,-122.3552018,16143.1813283,Tract 008004,8733362.41656494,16143.181328313
120,53,033,008101,53033008101,81.01,Census Tract,G5020,S,270324,277671,+47.6074716,-122.3427956,11596.7020717,Tract 008101,5898349.55517578,11596.702071767
121,53,033,008102,53033008102,81.02,Census Tract,G5020,S,556705,91220,+47.6052820,-122.3360120,15148.0967902,Tract 008102,6973948.96520996,15148.0967902168
122,53,033,008200,53033008200,82,Census Tract,G5020,S,375785,0,+47.6102887,-122.3318896,9102.14034148,Tract 008200,4044773.82574463,9102.14034150719
123,53,033,008300,53033008300,83,Census Tract,G5020,S,237955,0,+47.6118181,-122.3280064,8632.13489441,Tract 008300,2561276.49780273,8632.13489445719
124,53,033,008401,53033008401,84.01,Census Tract,G5020,S,250921,0,+47.6123725,-122.3226009,9275.81826751,Tract 008401,2700766.60931396,9275.81826749947
125,53,033,008402,53033008402,84.02,Census Tract,G5020,S,145446,0,+47.6148658,-122.3260059,5220.86848686,Tract 008402,1565507.71511841,5220.86848683917
126,53,033,008500,53033008500,85,Census Tract,G5020,S,450978,0,+47.6049717,-122.3249555,9025.58161467,Tract 008500,4854121.31945801,9025.58161466898
127,53,033,008600,53033008600,86,Census Tract,G5020,S,711350,0,+47.6071013,-122.3166895,11640.7206126,Tract 008600,7656616.6257019,11640.7206126426
128,53,033,008700,53033008700,87,Census Tract,G5020,S,732385,0,+47.6059236,-122.3077909,11432.3842124,Tract 008700,7883013.1696167,11432.3842123549
129,53,033,008800,53033008800,88,Census Tract,G5020,S,948581,0,+47.6073299,-122.2976324,13202.526857,Tract 008800,10210038.8580627,13202.5268569688
130,53,033,008900,53033008900,89,Census Tract,G5020,S,1270033,1798066,+47.6010291,-122.2852290,27578.1734334,Tract 008900,33023503.5929565,27578.1734333766
131,53,033,009000,53033009000,90,Census Tract,G5020,S,855872,0,+47.5980274,-122.3089020,14319.1029916,Tract 009000,9212173.19702148,14319.10299161
132,53,033,009100,53033009100,91,Census Tract,G5020,S,410621,0,+47.5983847,-122.3217349,10608.3854115,Tract 009100,4419685.26586914,10608.3854115385
133,53,033,009200,53033009200,92,Census Tract,G5020,S,338451,154864,+47.6004609,-122.3335323,13268.5892366,Tract 009200,5309810.06643677,13268.5892366226
134,53,033,009300,53033009300,93,Census Tract,G5020,S,9444110,639051,+47.5771253,-122.3309360,49011.1866485,Tract 009300,108530722.94986,49011.1866484861
135,53,033,009400,53033009400,94,Census Tract,G5020,S,1686311,0,+47.5880988,-122.3099702,18874.5831831,Tract 009400,18150625.6755524,18874.5831831263
136,53,033,009500,53033009500,95,Census Tract,G5020,S,2597717,2916270,+47.5783426,-122.2831943,35036.6654157,Tract 009500,59350038.3549194,35036.6654156824
137,53,033,009600,53033009600,96,Census Tract,G5020,S,1906922,1385222,+47.5899898,-122.3882351,24828.047593,Tract 009600,35435085.6145935,24828.0475929891
138,53,033,009701,53033009701,97.01,Census Tract,G5020,S,1861358,1607123,+47.5731929,-122.4101745,32892.4220378,Tract 009701,37333296.4039764,32892.4220378218
139,53,033,009702,53033009702,97.02,Census Tract,G5020,S,2220441,0,+47.5719337,-122.3960103,28258.7625684,Tract 009702,23899907.4261322,28258.7625685094
140,53,033,009801,53033009801,98.01,Census Tract,G5020,S,1004708,0,+47.5762555,-122.3831430,13291.5490833,Tract 009801,10814248.9398804,13291.5490833089
141,53,033,009802,53033009802,98.02,Census Tract,G5020,S,922319,0,+47.5672342,-122.3830567,12982.754934,Tract 009802,9927510.52313232,12982.7549339442
142,53,033,009900,53033009900,99,Census Tract,G5020,S,6565170,2370735,+47.5794536,-122.3550326,47330.8254936,Tract 009900,96182325.0415802,47330.8254936307
143,53,033,010001,53033010001,100.01,Census Tract,G5020,S,2267156,60359,+47.5673069,-122.3043618,25628.9245317,Tract 010001,25052474.6051941,25628.9245317068
144,53,033,010002,53033010002,100.02,Census Tract,G5020,S,948077,0,+47.5765865,-122.3095716,13732.7653894,Tract 010002,10204645.6443481,13732.7653893922
145,53,033,010101,53033010101,101.01,Census Tract,G5020,S,871622,0,+47.5657253,-122.2906975,15311.6567051,Tract 010101,9381810.13050842,15311.6567050539
146,53,033,010102,53033010102,101.02,Census Tract,G5020,S,1623225,2170065,+47.5660585,-122.2688521,30706.1024251,Tract 010102,40829514.8325958,30706.1024250516
147,53,033,010200,53033010200,102,Census Tract,G5020,S,2795533,2076618,+47.5564564,-122.2517138,32354.3585864,Tract 010200,52442196.7384338,32354.3585863597
148,53,033,010301,53033010301,103.01,Census Tract,G5020,S,1002658,0,+47.5521545,-122.2805848,16924.3685148,Tract 010301,10792262.4648743,16924.3685147391
149,53,033,010302,53033010302,103.02,Census Tract,G5020,S,632167,0,+47.5573770,-122.2858807,11267.2532001,Tract 010302,6804418.7505188,11267.2532000811
150,53,033,010401,53033010401,104.01,Census Tract,G5020,S,1629874,0,+47.5532095,-122.2955875,17342.9302014,Tract 010401,17543421.0290985,17342.9302014133
151,53,033,010402,53033010402,104.02,Census Tract,G5020,S,1742871,0,+47.5539478,-122.3101489,18925.0430066,Tract 010402,18759692.8947754,18925.0430065983
152,53,033,010501,53033010501,105.01,Census Tract,G5020,S,742016,0,+47.5576235,-122.3801107,12490.0968039,Tract 010501,7986746.71528625,12490.0968038986
153,53,033,010502,53033010502,105.02,Census Tract,G5020,S,975912,0,+47.5573014,-122.3896847,14546.1362419,Tract 010502,10504351.3418884,14546.136241938
154,53,033,010601,53033010601,106.01,Census Tract,G5020,S,1089233,0,+47.5459808,-122.3816984,14458.8369487,Tract 010601,11724162.3238525,14458.8369486603
155,53,033,010602,53033010602,106.02,Census Tract,G5020,S,1505061,817134,+47.5476919,-122.3967392,25295.5537043,Tract 010602,24995369.9867249,25295.5537042526
156,53,033,010701,53033010701,107.01,Census Tract,G5020,S,1457384,3664,+47.5451419,-122.3675265,21302.3651803,Tract 010701,15726285.7227173,21302.365180282
157,53,033,010702,53033010702,107.02,Census Tract,G5020,S,780115,0,+47.5467996,-122.3730587,14935.9302412,Tract 010702,8396926.79298401,14935.9302412351
158,53,033,010800,53033010800,108,Census Tract,G5020,S,4140525,322633,+47.5440342,-122.3498743,35902.6310473,Tract 010800,48039981.2288971,35902.6310474087
159,53,033,010900,53033010900,109,Census Tract,G5020,S,5389781,414929,+47.5408335,-122.3175563,37197.0489207,Tract 010900,62480158.7969971,37197.0489207147
160,53,033,011001,53033011001,110.01,Census Tract,G5020,S,1080391,0,+47.5384101,-122.2861704,16287.3553132,Tract 011001,11629041.0736389,16287.3553132083
161,53,033,011002,53033011002,110.02,Census Tract,G5020,S,1719569,0,+47.5405945,-122.2991995,22511.126765,Tract 011002,18508908.4573364,22511.1267650038
162,53,033,011101,53033011101,111.01,Census Tract,G5020,S,1136851,0,+47.5394734,-122.2773089,15552.0743494,Tract 011101,12236718.0847931,15552.0743493787
163,53,033,011102,53033011102,111.02,Census Tract,G5020,S,1303226,1143440,+47.5424632,-122.2604403,27213.6174154,Tract 011102,26335224.9094696,27213.6174153263
164,53,033,011200,53033011200,112,Census Tract,G5020,S,2483779,139646,+47.5296655,-122.3262393,26523.1992224,Tract 011200,28237858.9081726,26523.1992223997
165,53,033,011300,53033011300,113,Census Tract,G5020,S,3419308,42220,+47.5273623,-122.3435690,27177.7501083,Tract 011300,37259033.8862152,27177.7501082778
166,53,033,011401,53033011401,114.01,Census Tract,G5020,S,1233155,0,+47.5297061,-122.3620280,17478.0591594,Tract 011401,13273369.14328,17478.0591593697
167,53,033,011402,53033011402,114.02,Census Tract,G5020,S,1186191,0,+47.5206654,-122.3646254,17325.026274,Tract 011402,12767866.8524475,17325.0262739486
168,53,033,011500,53033011500,115,Census Tract,G5020,S,1538373,0,+47.5301833,-122.3755330,19887.3089363,Tract 011500,16558652.7528534,19887.3089363126
169,53,033,011601,53033011601,116.01,Census Tract,G5020,S,1554538,184845,+47.5235901,-122.3885434,22018.3466053,Tract 011601,18722267.9729004,22018.3466052909
170,53,033,011602,53033011602,116.02,Census Tract,G5020,S,1565825,786358,+47.5338344,-122.3952427,28931.9366916,Tract 011602,25318244.5126038,28931.9366915371
171,53,033,011700,53033011700,117,Census Tract,G5020,S,3515808,0,+47.5201682,-122.2828633,29531.8332366,Tract 011700,37843428.3739319,29531.8332365768
172,53,033,011801,53033011801,118.01,Census Tract,G5020,S,1160802,630417,+47.5278065,-122.2655724,19919.6320005,Tract 011801,19280233.2323761,19919.6320004744
173,53,033,011802,53033011802,118.02,Census Tract,G5020,S,1139611,1037832,+47.5187835,-122.2586613,21145.9270674,Tract 011802,23437535.0083923,21145.9270673704
174,53,033,011901,53033011901,119.01,Census Tract,G5020,S,1682374,0,+47.5049971,-122.2650093,20466.2077876,Tract 011901,18108773.092453,20466.2077876044
